feature,importance,importance_std,split_id,train_end,horizon,model
HospRisk_lag12,0.0,0.0,1,2018-12-31,13,Lasso
HospRisk_lag24,0.0,0.0,1,2018-12-31,13,Lasso
HospRisk_lag52,0.0,0.0,1,2018-12-31,13,Lasso
HospRisk_rollmean12,0.0,0.0,1,2018-12-31,13,Lasso
HospRisk_rollmean24,2.0233530093455297e-05,5.676246397162898e-06,1,2018-12-31,13,Lasso
HospRisk_rollmean52,0.022154546593300378,0.0008026328517403675,1,2018-12-31,13,Lasso
HospRisk_ewm12,0.0,0.0,1,2018-12-31,13,Lasso
HospRisk_ewm24,0.0,0.0,1,2018-12-31,13,Lasso
HospRisk_ewm52,0.0,0.0,1,2018-12-31,13,Lasso
year,0.0,0.0,1,2018-12-31,13,ElasticNet
month,0.0,0.0,1,2018-12-31,13,ElasticNet
quarter,0.0006274784378319908,0.00016781547860772995,1,2018-12-31,13,ElasticNet
week_sin,0.0015360000026891029,0.0002891463148352546,1,2018-12-31,13,ElasticNet
week_cos,0.0005090188148111352,9.492774560021677e-05,1,2018-12-31,13,ElasticNet
HospRisk_lag1,-4.033035806237928e-05,8.647092529211985e-05,1,2018-12-31,13,ElasticNet
HospRisk_lag2,-3.6518045136541e-05,9.246964285927021e-06,1,2018-12-31,13,ElasticNet
HospRisk_lag4,-1.3974654155912702e-05,2.505565317138533e-05,1,2018-12-31,13,ElasticNet
HospRisk_lag8,-3.544748189084346e-05,2.5344747404874183e-05,1,2018-12-31,13,ElasticNet
HospRisk_lag12,4.271326836335909e-07,1.768286214991071e-05,1,2018-12-31,13,ElasticNet
HospRisk_lag24,-1.8550440217424135e-06,2.188591791404359e-06,1,2018-12-31,13,ElasticNet
HospRisk_lag52,2.521206621549088e-05,1.5204450017334756e-05,1,2018-12-31,13,ElasticNet
HospRisk_rollmean12,0.0,0.0,1,2018-12-31,13,ElasticNet
HospRisk_rollmean24,0.0010588631969466078,0.00013234582143132375,1,2018-12-31,13,ElasticNet
HospRisk_rollmean52,0.028492464959077035,0.0008919184868366862,1,2018-12-31,13,ElasticNet
HospRisk_ewm12,7.779619741138388e-05,1.8599493124693148e-05,1,2018-12-31,13,ElasticNet
HospRisk_ewm24,0.0,0.0,1,2018-12-31,13,ElasticNet
HospRisk_ewm52,0.0,0.0,1,2018-12-31,13,ElasticNet
year,0.0,0.0,1,2018-12-31,13,PLS
month,0.0016866110216994135,0.00012700585063697703,1,2018-12-31,13,PLS
quarter,0.004188660053499221,0.00038308447581147454,1,2018-12-31,13,PLS
week_sin,0.0021006583720535156,0.0003432274103186044,1,2018-12-31,13,PLS
